묶음,재료명,빈도,출처,표준명,판정,메모
110,들기름,28,농식,들기름,그대로,
111,땅콩,24,농식,땅콩,그대로,
111,다진 땅콩,4,식,땅콩,가공,
112,바지락,27,농식,바지락,그대로,
113,무순,27,농식,무순,그대로,
114,튀김기름,27,농식,식용유,표기,400g·200g 대량 = 튀김용. 재고로는 같은 식용유
115,흑임자,26,농식,흑임자,그대로,
116,아스파라거스,26,농식,아스파라거스,그대로,
117,로즈마리,26,농식,로즈마리,그대로,
118,다진 파,26,식,대파,가공,
119,비트,24,농식,비트,그대로,
120,곤약,12,농식,곤약,그대로,
120,실곤약,12,식,곤약,가공,
121,완두콩,23,농식,완두콩,그대로,
122,연어,19,농식,연어,그대로,
122,훈제연어,4,농식,훈제연어,그대로,
123,모시조개,18,농식,모시조개,그대로,
123,조개,5,식,조개,그대로,
124,연근,22,농식,연근,그대로,
125,강력분,22,농식,강력분,그대로,
126,청경채,22,농식,청경채,그대로,
127,들깻가루,22,농식,들깻가루,그대로,
128,홍합,21,농식,홍합,그대로,
129,치커리,20,농식,치커리,그대로,
130,두유,20,식,두유,그대로,
131,콩가루,12,농식,콩가루,그대로,
131,날콩가루,8,농식,콩가루,표기,
132,튀김가루,19,농식,튀김가루,그대로,
133,매실청,19,식,매실액,표기,
134,우엉,18,농식,우엉,그대로,
135,닭,18,농식,닭고기,표기,
136,브로컬리,18,식,브로콜리,표기,
137,스파게티,14,농식,스파게티면,표기,"재고 항목명 모호성 회피 — ""스파게티""는 요리명으로도 읽힘"
137,스파게티면,4,농식,스파게티면,그대로,"빈도 예외 — 스파게티(14)>스파게티면(4), 재고 항목명 모호성 회피"
138,고사리,17,농식,고사리,그대로,
139,당면,17,농식,당면,그대로,
140,낙지,17,농식,낙지,그대로,
141,머스터드,17,농식,머스터드,그대로,
142,참나물,17,농식,참나물,그대로,
143,옥수수,9,농식,옥수수,그대로,
143,수수,4,농식,수수,그대로,
143,옥수수통조림,4,농,옥수수,가공,
144,새싹채소,9,농식,새싹채소,그대로,
144,새싹,8,식,새싹,그대로,
145,팥,16,농식,팥,그대로,
146,죽순,16,농식,죽순,그대로,
147,들깨가루,16,농식,들깻가루,표기,
148,미림,16,농식,미림,그대로,맛술과 동시 등장 0건 — 코퍼스상 구분 근거 없음. 별개 유지는 판단
149,전복,16,농식,전복,그대로,
150,주꾸미,16,식,주꾸미,그대로,
151,게맛살,12,농식,게맛살,그대로,
151,맛살,4,농식,게맛살,표기,
152,딸기,12,농식,딸기,그대로,
152,딸기잼,4,식,딸기잼,그대로,
153,도라지,15,농식,도라지,그대로,
154,멥쌀,15,농식,쌀,표기,떡 레시피에서 찹쌀과 대비하려 쓴 이름
155,고등어,15,농식,고등어,그대로,
156,검은깨,15,농식,흑임자,표기,
157,아보카도,15,농식,아보카도,그대로,
158,계피가루,15,식,계피가루,그대로,
159,박력분,15,식,박력분,그대로,
160,미역,9,농식,미역,그대로,
160,건미역,6,식,미역,가공,
161,까나리액젓,9,농식,까나리액젓,그대로,
161,액젓,6,농식,액젓,그대로,
162,오레가노,14,농식,오레가노,그대로,
163,와사비,14,농식,고추냉이,표기,"빈도 예외 — 와사비(14)>고추냉이(5), 순화어 우선"
164,식빵,14,농식,식빵,그대로,
165,함초,10,식,함초,그대로,
165,함초가루,4,식,함초가루,그대로,
166,국수,8,농식,국수,그대로,
166,쌀국수,6,농식,쌀국수,그대로,
167,은행,13,농식,은행,그대로,
168,굴,13,농식,굴,그대로,
169,라면,13,농식,라면,그대로,
170,깨,13,농식,깨,그대로,
171,라이스페이퍼,13,농식,라이스페이퍼,그대로,
172,키위,13,농식,키위,그대로,
173,인삼,13,농식,인삼,그대로,
174,견과류,13,농식,견과류,그대로,
175,블루베리,13,식,블루베리,그대로,
176,이스트,9,농식,이스트,그대로,
176,드라이이스트,4,농식,드라이이스트,그대로,
177,목이버섯,12,농식,목이버섯,그대로,
178,가래떡,12,농식,가래떡,그대로,
179,수삼,12,농식,수삼,그대로,
180,쌀가루,12,농식,쌀가루,그대로,
181,크랜베리,12,식,크랜베리,그대로,
182,강황가루,12,식,강황가루,그대로,
183,마,12,식,마,그대로,
184,알룰로스,12,식,알룰로스,그대로,
185,더덕,8,농식,더덕,그대로,
185,미더덕,4,농식,미더덕,그대로,
186,참치,11,농식,참치,그대로,
187,떡볶이떡,11,식,떡볶이떡,그대로,
188,베이킹파우더,11,식,베이킹파우더,그대로,
189,콩,10,농식,콩,그대로,
190,만두피,10,농식,만두피,그대로,
191,유부,10,농식,유부,그대로,
192,어묵,10,농식,어묵,그대로,
193,햄,10,농식,햄,그대로,
194,다시물,10,농식,다시물,그대로,
195,가다랑어포,10,식,가다랑어포,그대로,
196,관자,10,식,관자,그대로,
197,판젤라틴,10,식,젤라틴,가공,판(板)은 형태
198,귀리,6,식,귀리,그대로,
198,귀리밥,4,식,쌀,가공,조리된 밥은 밥으로 취급. 생귀리는 별개 유지
199,청국장,5,농식,청국장,그대로,
199,청국장가루,5,식,청국장가루,그대로,원물과 별개 상품
200,쌀뜨물,9,농식,쌀뜨물,그대로,
201,배즙,9,농식,배,가공,
202,갓,9,농,갓,그대로,
203,꽃게,9,농식,꽃게,그대로,
204,달래,9,농식,달래,그대로,
205,탄산수,9,농식,탄산수,그대로,
206,부침가루,9,농식,부침가루,그대로,
207,메추리알,9,식,메추리알,그대로,
208,콩기름,9,식,식용유,표기,
209,치자,5,농식,치자,그대로,
209,치자가루,4,식,치자가루,그대로,
210,요구르트,5,식,요거트,표기,
210,플레인 요구르트,4,식,요거트,표기,
211,꼬치,8,농식,꼬치,그대로,
212,배춧잎,8,농식,배춧잎,그대로,
213,소면,8,농식,국수,표기,소면은 국수의 한 종류
214,취나물,8,농식,취나물,그대로,
215,케일,8,농식,케일,그대로,
216,적채,8,농식,적채,그대로,
217,닭다리살,8,식,닭고기,가공,
218,돼지등심,8,식,돼지고기,가공,
219,미숫가루,8,식,미숫가루,그대로,
220,청포묵,7,농식,청포묵,그대로,
221,술,7,농,청주,표기,맛술·미림과 각각 동시 등장 1건 → 맛술 계열 아님. 용례 전부 한식 양념
222,쑥,7,농식,쑥,그대로,
223,곶감,7,농식,곶감,그대로,
224,바게트,7,농식,바게트,그대로,
225,조미술,7,농식,맛술,표기,
226,체리,7,농식,체리,그대로,
227,두반장,7,농식,두반장,그대로,
228,사워크림,7,농식,사워크림,그대로,
229,발사믹소스,7,식,발사믹식초,표기,1차 판정 유지 — 소스(글레이즈)와 식초의 구분 미검토
230,삼겹살,7,식,돼지고기,표기,부위를 상위로 통합
231,천일염,7,식,소금,가공,
232,참외,7,식,참외,그대로,
233,캐슈넛,7,식,캐슈넛,그대로,
234,파다진것,7,식,대파,가공,
235,쌈장,6,농식,쌈장,그대로,
236,문어,6,농식,문어,그대로,
237,피클,6,농식,피클,그대로,
238,누룽지,6,농식,누룽지,그대로,
239,대하,6,농식,새우,표기,큰 새우 종 — 새우살과 동일 처리
240,코다리,6,농식,코다리,그대로,
241,날치알,6,농식,날치알,그대로,
242,장어,6,농식,장어,그대로,
243,타임,6,농식,타임,그대로,
244,셀러리,6,농식,샐러리,표기,
245,검은콩,6,식,검은콩,그대로,
246,오리고기,6,식,오리고기,그대로,
247,식용꽃,6,식,식용꽃,그대로,
248,메밀면,6,식,메밀면,그대로,
249,콜리플라워,6,식,콜리플라워,그대로,
250,오미자,6,식,오미자,그대로,
251,백년초가루,6,식,백년초가루,그대로,
252,칠리소스,6,식,칠리소스,그대로,
253,홍시,6,식,홍시,그대로,
254,무가당 코코아가루,6,식,무가당 코코아가루,그대로,"표준명 ""코코아가루""는 원천에 없음 → 실재 표기로 교정"
255,스테비아,6,식,스테비아,그대로,
256,중력분,6,식,중력분,그대로,
257,식물성기름,5,농식,식용유,표기,
258,북어,5,농식,북어,그대로,
259,차이브,5,농식,차이브,그대로,
260,갈치,5,농식,갈치,그대로,
261,대구살,5,농식,대구살,그대로,
262,단무지,5,농,단무지,그대로,
263,메주콩,5,농식,메주콩,그대로,
264,돼지갈비,5,농식,돼지고기,표기,부위를 상위로 통합
265,꽁치,5,농식,꽁치,그대로,
266,잣가루,5,농식,잣,가공,
267,우동면,5,농식,우동면,그대로,
268,찬밥,5,농식,쌀,가공,
269,통계피,5,농식,통계피,그대로,
270,정향,5,농식,정향,그대로,
271,두릅,5,농식,두릅,그대로,
272,보리,5,농식,보리,그대로,
273,게살,5,농식,게살,그대로,게맛살(연육 가공품)과 다른 식품 — 1차 병합 오류 수정
274,래디쉬,5,농식,래디쉬,그대로,외래어표기법은 래디시 — 원천에 없어 채택 안 함
275,콩비지,5,농식,콩비지,그대로,
276,삼치,5,식,삼치,그대로,
277,콜라비,5,식,콜라비,그대로,
278,톳,5,식,톳,그대로,
279,통삼겹,5,식,돼지고기,표기,부위를 상위로 통합
280,애플민트,5,식,애플민트,그대로,
281,백미,5,식,쌀,표기,잡곡밥의 흰쌀 파트
282,묵은지,5,식,묵은지,그대로,
283,소주,5,식,소주,그대로,냄새 제거용 10~15g. 청주와 용도 겹치나 별개 상품
284,불린 쌀,5,식,쌀,가공,
285,계핏가루,4,농,계피가루,표기,
286,깐밤,4,농식,밤,가공,
287,열무,4,농식,열무,그대로,
288,쭈꾸미,4,농식,주꾸미,표기,
289,블랙올리브,4,농식,블랙올리브,그대로,
290,청정원맛선생,4,농,청정원맛선생,제외,"브랜드 상품명. 4건 전부 양념 ""약간"""
291,조기,4,농식,조기,그대로,
292,사골,4,농,사골,그대로,
293,석이버섯,4,농,석이버섯,그대로,
294,컬리플라워,4,농식,콜리플라워,표기,컬리플라워소스 광어스테이크에서 한 레시피 내 두 표기 혼용 확인
295,자몽,4,농식,자몽,그대로,
296,녹두,4,농,녹두,그대로,
297,봄동,4,농식,봄동,그대로,
298,불린쌀,4,농식,쌀,가공,
299,광어,4,농식,광어,그대로,
300,조청,4,농식,조청,그대로,
301,우스터소스,4,농식,우스터소스,그대로,
302,춘권피,4,농식,춘권피,그대로,
303,아욱,4,농식,아욱,그대로,
304,파스타,4,농식,스파게티면,표기,"면 종류 미상 — 스파게티 추정, 미검증"
305,닭봉,4,농식,닭고기,가공,
306,조,4,농식,조,그대로,
307,근대,4,농식,근대,그대로,
308,슬라이스햄,4,농식,햄,표기,
309,라임,4,농식,라임,그대로,
310,강낭콩,4,식,강낭콩,그대로,
311,레디쉬,4,식,래디쉬,표기,
312,백일송이,4,식,백일송이,그대로,
313,닭뼈,4,식,닭뼈,그대로,
314,홍초,4,식,홍초,그대로,
315,바지락살,4,식,바지락,가공,[2차추가]
316,민트,4,식,민트,그대로,[2차추가]
317,녹차가루,4,식,녹차가루,그대로,[2차추가] 별도 상품 — 원물 녹차(2건)는 시드 밖
318,바질잎,4,식,바질,표기,[2차추가]
319,대두유,4,식,식용유,표기,[2차추가] 중성유
320,청고추다진것,4,식,청고추,가공,[2차추가]
321,그릭요거트,4,식,그릭요거트,그대로,[2차추가] 유청 제거 농축 — 요거트와 별도 상품
322,건고추,4,식,건고추,그대로,원물이 통상 생물이면 건조를 구분한다 — 생고추로 만들 수 없다
323,빨강파프리카,4,식,파프리카,표기,[2차추가]
324,쌀밥,4,식,쌀,표기,[2차추가]
325,매생이,4,식,매생이,그대로,[2차추가]
326,흑미,4,식,흑미,그대로,[2차추가] 별개 품종
327,망고,4,식,망고,그대로,[2차추가]
328,검정깨,4,식,흑임자,표기,[2차추가]
329,간편 어간장,4,식,간장,가공,[2차추가]
330,황태,4,식,황태,그대로,[2차추가] 북어·코다리와 건조법·용도가 달라 별개
331,캔참치,4,식,참치,표기,[2차추가]
332,사과주스,4,식,사과주스,그대로,[2차추가] 가공식품 — 즙과 구분
333,모짜렐라 치즈,4,식,모짜렐라치즈,표기,[2차추가]
334,호상요구르트,4,식,요거트,표기,[2차추가] 떠먹는 요구르트
335,젓갈,4,식,젓갈,그대로,[2차추가] 종류 미상 — 김치 담글 때 0.5~5g
336,토마토콩카세,4,식,토마토,가공,[2차추가] 껍질·씨 제거 후 다진 것
337,박력 밀가루,4,식,박력분,표기,[2차추가]
338,마늘가루,4,식,마늘가루,그대로,[2차추가] 별도 상품 — 생강가루와 동일 기준
339,라임즙,4,식,라임,가공,[2차추가]
340,피클링스파이스,4,식,피클링스파이스,그대로,[2차추가]
341,돼지호박,4,식,애호박,표기,[2차추가] 주키니의 다른 이름 — 오븐구이·프리타타 등 서양요리 용례
342,젤라틴,4,식,젤라틴,그대로,[2차추가] 판젤라틴(10)의 대표행
